customer_id,segment_name,Recency,Frequency,Monetary,ticket_count,return_rate,sessions_30d,campaign_clicks_30d,loyalty_tier
CUST00001,Discount Sensitive,168,6,2955.57,2.0,0.16666666666666666,1,0,Silver
CUST00002,Regular Customers,35,3,1713.1,1.0,0.0,8,0,Silver
CUST00003,Discount Sensitive,232,1,649.98,,0.0,1,0,
CUST00004,Dormant Customers,192,1,1604.04,,0.0,1,0,
CUST00005,Discount Sensitive,11,6,3910.43,1.0,0.0,18,1,Gold
CUST00006,Discount Sensitive,55,6,3987.46,2.0,0.16666666666666666,2,0,Silver
CUST00007,Regular Customers,3,2,1219.9,,0.0,11,3,
CUST00008,Loyal Customers,45,6,3647.9900000000002,1.0,0.0,2,0,Silver
CUST00009,Discount Sensitive,29,2,803.99,,0.5,11,0,
CUST00010,Discount Sensitive,9,2,1984.18,,0.0,13,0,
CUST00011,Loyal Customers,7,4,2912.49,,0.0,10,0,Gold
CUST00012,Discount Sensitive,111,2,2051.63,1.0,0.0,3,0,
CUST00013,Loyal Customers,3,4,2934.52,1.0,0.0,4,0,
CUST00014,High Value But Unhappy,1,13,9108.63,2.0,0.0,11,0,
CUST00015,Discount Sensitive,1,5,5805.34,,0.0,6,0,Gold
CUST00016,Dormant Customers,276,1,478.02,1.0,0.0,2,1,
CUST00017,Dormant Customers,347,3,1699.1399999999999,,0.0,4,4,
CUST00018,Discount Sensitive,172,1,329.21,,0.0,3,2,Silver
CUST00019,Regular Customers,35,3,2719.02,,0.0,5,1,Gold
CUST00020,Dormant Customers,429,3,4487.950000000001,1.0,0.0,0,0,
CUST00021,Discount Sensitive,138,2,1059.3,1.0,0.0,3,0,Silver
CUST00022,Regular Customers,37,2,1332.67,,0.0,10,1,
CUST00023,Regular Customers,42,2,772.04,,0.0,3,1,Gold
CUST00024,Discount Sensitive,14,2,967.97,,0.0,13,0,
CUST00025,High Value But Unhappy,226,7,4868.86,3.0,0.0,11,1,
CUST00026,High Value But Unhappy,41,4,4521.43,1.0,0.5,14,0,
CUST00027,Discount Sensitive,15,2,2666.0,1.0,0.5,11,2,
CUST00028,Regular Customers,4,3,1853.73,1.0,0.0,1,0,
CUST00029,Loyal Customers,12,11,7122.8,,0.0,1,0,
CUST00030,Discount Sensitive,16,7,3884.46,2.0,0.0,11,0,Gold
CUST00031,Regular Customers,110,1,672.95,,0.0,6,0,
CUST00032,Discount Sensitive,32,4,2456.0499999999997,,0.0,12,0,Silver
CUST00033,Discount Sensitive,15,6,3548.9,2.0,0.3333333333333333,7,0,Gold
CUST00034,Loyal Customers,53,7,4165.39,3.0,0.0,7,2,Gold
CUST00035,Dormant Customers,188,3,1369.71,,0.0,6,0,Silver
CUST00036,Discount Sensitive,88,4,1737.33,1.0,0.25,0,0,Silver
CUST00037,Discount Sensitive,9,3,2021.52,,0.0,5,0,
CUST00038,Discount Sensitive,11,6,2761.52,1.0,0.0,5,0,
CUST00039,Loyal Customers,31,4,2094.09,,0.0,6,1,
CUST00040,Discount Sensitive,215,1,634.73,1.0,0.0,1,0,
CUST00041,Discount Sensitive,115,4,1911.8600000000001,1.0,0.0,5,2,Silver
CUST00042,High Value But Unhappy,46,10,7919.28,6.0,0.2,3,2,Silver
CUST00043,Discount Sensitive,12,2,705.3199999999999,,0.0,3,0,Gold
CUST00044,Discount Sensitive,58,4,3409.6499999999996,1.0,0.0,6,2,
CUST00045,Discount Sensitive,157,1,413.75,,0.0,6,1,
CUST00046,Dormant Customers,188,1,489.87,,0.0,7,0,Gold
